id	SYMBOL	GO TERM
511145.b4586	ykfM	GO:0006974
511145.b4586	ykfM	GO:0046677
511145.b4602	ynhF	GO:0071456
511145.b4613	dinQ	GO:0006974
511145.b4618	tisB	GO:0006974
511145.b4618	tisB	GO:0009432
511145.b4618	tisB	GO:0022611
511145.b4637	uof	GO:0006417
511145.b3926	glpK	GO:0006071
511145.b4662	sgrT	GO:0046325
511145.b4667	ibsA	GO:0012501
511145.b4687	shoB	GO:0012501
511145.b4682	yqcG	GO:0036460
511145.b4665	ibsC	GO:0012501
511145.b4666	ibsE	GO:0012501
511145.b4260	pepA	GO:0071139
511145.b4260	pepA	GO:1903770
511145.b4260	pepA	GO:2000143
511145.b4702	mgtL	GO:0031556
511145.b4702	mgtL	GO:0032026
511145.b2376	ypdI	GO:0009242
511145.b4407	thiS	GO:0052837
511145.b2029	gnd	GO:0006098
511145.b2029	gnd	GO:0009051
511145.b4154	frdA	GO:0006974
511145.b4154	frdA	GO:0044780
511145.b4154	frdA	GO:0006113
511145.b4154	frdA	GO:0009061
511145.b4154	frdA	GO:0019645
511145.b1761	gdhA	GO:0006537
511145.b1761	gdhA	GO:0006536
511145.b1109	ndh	GO:0009060
511145.b1109	ndh	GO:0009061
511145.b1109	ndh	GO:0019646
511145.b1109	ndh	GO:0055070
511145.b3908	sodA	GO:0006801
511145.b3908	sodA	GO:0006979
511145.b3908	sodA	GO:0009408
511145.b3908	sodA	GO:0010447
511145.b3908	sodA	GO:0019430
511145.b3908	sodA	GO:0071291
511145.b2234	nrdA	GO:0009263
511145.b2234	nrdA	GO:0015949
511145.b2234	nrdA	GO:0009185
511145.b2234	nrdA	GO:0009265
511145.b3417	malP	GO:0005980
511145.b3417	malP	GO:0030980
511145.b0928	aspC	GO:0009094
511145.b0928	aspC	GO:0033585
511145.b0003	thrB	GO:0009088
511145.b3599	mtlA	GO:0009401
511145.b3599	mtlA	GO:0015795
511145.b3599	mtlA	GO:0015797
511145.b0002	thrA	GO:0009089
511145.b0002	thrA	GO:0009090
511145.b0002	thrA	GO:0051289
511145.b0002	thrA	GO:0009086
511145.b0002	thrA	GO:0009088
511145.b3940	metL	GO:0009089
511145.b3940	metL	GO:0009090
511145.b3940	metL	GO:0009086
511145.b3940	metL	GO:0009088
511145.b3067	rpoD	GO:0009408
511145.b3067	rpoD	GO:0006352
511145.b3067	rpoD	GO:0045892
511145.b3067	rpoD	GO:2000142
511145.b3863	polA	GO:0006260
