id	SYMBOL	GO TERM
511145.b4598	yncL	GO:0005886
511145.b4601	ydgU	GO:0005886
511145.b4602	ynhF	GO:0005886
511145.b4602	ynhF	GO:0016020
511145.b4602	ynhF	GO:0070069
511145.b4613	dinQ	GO:0016020
511145.b4618	tisB	GO:0005886
511145.b4618	tisB	GO:0016020
511145.b4655	ythA	GO:0005886
511145.b4671	ykgR	GO:0005886
511145.b4676	yoaK	GO:0005886
511145.b4675	yoaJ	GO:0005886
511145.b4663	azuC	GO:0005886
511145.b4667	ibsA	GO:0005886
511145.b4668	ibsB	GO:0005886
511145.b4679	yohP	GO:0005886
511145.b4680	ypdK	GO:0005886
511145.b4680	ypdK	GO:0016020
511145.b4687	shoB	GO:0005886
511145.b4665	ibsC	GO:0005886
511145.b4664	ibsD	GO:0005886
511145.b4666	ibsE	GO:0005886
511145.b0476	aes	GO:0005737
511145.b4703	pmrR	GO:0005886
511145.b4407	thiS	GO:1902503
511145.b4407	thiS	GO:1990228
511145.b2636	yfjS	GO:0005886
511145.b2029	gnd	GO:0005829
511145.b4154	frdA	GO:0005886
511145.b4154	frdA	GO:0005829
511145.b4154	frdA	GO:0016020
511145.b4154	frdA	GO:0045283
511145.b1761	gdhA	GO:0005829
511145.b1761	gdhA	GO:0005737
511145.b1761	gdhA	GO:1990148
511145.b1109	ndh	GO:0005886
511145.b1109	ndh	GO:0030964
511145.b3908	sodA	GO:0005737
511145.b3908	sodA	GO:0005829
511145.b2234	nrdA	GO:0005829
511145.b2234	nrdA	GO:0005971
511145.b3417	malP	GO:0005737
511145.b3417	malP	GO:0005829
511145.b0928	aspC	GO:0005829
511145.b0928	aspC	GO:0005737
511145.b0003	thrB	GO:0005829
511145.b3599	mtlA	GO:0005886
511145.b3940	metL	GO:0005829
511145.b3067	rpoD	GO:0005829
511145.b3067	rpoD	GO:0000345
511145.b3067	rpoD	GO:1903865
511145.b3863	polA	GO:0005737
511145.b3863	polA	GO:0005829
511145.b0383	phoA	GO:0042597
511145.b0383	phoA	GO:0030288
511145.b0344	lacZ	GO:0009341
511145.b2568	lepB	GO:0005886
511145.b0027	lspA	GO:0005886
511145.b2957	ansB	GO:0042597
511145.b2957	ansB	GO:0030288
511145.b2957	ansB	GO:0032991
511145.b3956	ppc	GO:0005829
511145.b1704	aroH	GO:0005737
511145.b2601	aroF	GO:0005737
511145.b0077	ilvI	GO:0005829
511145.b0077	ilvI	GO:0005948
511145.b0078	ilvH	GO:0005829
511145.b0078	ilvH	GO:0005948
511145.b1264	trpE	GO:0005950
511145.b3360	pabA	GO:0009356
511145.b2366	dsdA	GO:0005737
511145.b2366	dsdA	GO:0005829
511145.b0004	thrC	GO:0005829
511145.b3939	metB	GO:0005737
511145.b1613	manA	GO:0005829
511145.b3384	trpS	GO:0005829
511145.b0026	ileS	GO:0005829
511145.b2697	alaS	GO:0005829
511145.b2697	alaS	GO:0016020
511145.b2114	metG	GO:0005829
511145.b2114	metG	GO:0016020
511145.b3560	glyQ	GO:0005829
511145.b3560	glyQ	GO:0009345
511145.b3559	glyS	GO:0005829
511145.b3559	glyS	GO:0009345
511145.b0680	glnS	GO:0005829
511145.b3744	asnA	GO:0005829
511145.b0033	carB	GO:0005737
511145.b0033	carB	GO:0005829
511145.b0033	carB	GO:0005951
511145.b4200	rpsF	GO:0005737
511145.b4200	rpsF	GO:0005829
511145.b4200	rpsF	GO:0022627
511145.b3341	rpsG	GO:0005840
511145.b3341	rpsG	GO:0005737
511145.b3341	rpsG	GO:0005829
511145.b3341	rpsG	GO:0016020
511145.b3341	rpsG	GO:0022627
511145.b3301	rplO	GO:0005737
511145.b3301	rplO	GO:0022625
511145.b4033	malF	GO:0005886
511145.b4033	malF	GO:0016020
511145.b4033	malF	GO:0043190
511145.b4033	malF	GO:1990060
511145.b4033	malF	GO:1990154
511145.b3396	mrcA	GO:0030288
511145.b3396	mrcA	GO:0005886
511145.b0149	mrcB	GO:0030288
511145.b0149	mrcB	GO:0005886
511145.b0149	mrcB	GO:0016020
511145.b0343	lacY	GO:0005886
511145.b0343	lacY	GO:0016020
511145.b4120	melB	GO:0005886
511145.b1901	araF	GO:0030288
511145.b1901	araF	GO:0016020
511145.b1901	araF	GO:0055052
511145.b3751	rbsB	GO:0030288
511145.b3751	rbsB	GO:0016020
511145.b3751	rbsB	GO:0055052
511145.b1252	tonB	GO:0005886
511145.b1252	tonB	GO:0009279
511145.b1252	tonB	GO:0016020
511145.b1252	tonB	GO:0030288
511145.b1252	tonB	GO:0030313
511145.b1252	tonB	GO:0098797
511145.b1252	tonB	GO:1902495
511145.b3035	tolC	GO:0009279
511145.b3035	tolC	GO:0016020
511145.b3035	tolC	GO:0030288
511145.b3035	tolC	GO:0098567
511145.b3035	tolC	GO:1990196
511145.b3035	tolC	GO:1990281
511145.b0929	ompF	GO:0009279
511145.b0929	ompF	GO:0016020
511145.b0929	ompF	GO:0034702
511145.b0929	ompF	GO:0046930
511145.b0241	phoE	GO:0046930
511145.b4355	tsr	GO:0005886
511145.b4355	tsr	GO:0098561
511145.b4036	lamB	GO:0009279
511145.b4036	lamB	GO:0106234
511145.b3702	dnaA	GO:0005886
511145.b3702	dnaA	GO:0005829
511145.b3702	dnaA	GO:0009898
511145.b3702	dnaA	GO:1990078
511145.b3702	dnaA	GO:1990082
511145.b3702	dnaA	GO:1990084
511145.b3702	dnaA	GO:1990101
511145.b3702	dnaA	GO:1990102
511145.b3702	dnaA	GO:1990103
511145.b0215	dnaQ	GO:0005829
511145.b0215	dnaQ	GO:0009360
511145.b0215	dnaQ	GO:0030894
511145.b0215	dnaQ	GO:0044776
511145.b3813	uvrD	GO:0005829
511145.b3813	uvrD	GO:0017117
511145.b3813	uvrD	GO:0033202
511145.b0345	lacI	GO:0005829
511145.b3742	mioC	GO:0005829
511145.b0047	kefC	GO:0005886
511145.b0047	kefC	GO:0016020
511145.b0047	kefC	GO:1903103
511145.b4037	malM	GO:0030288
511145.b0698	kdpA	GO:0005886
511145.b0698	kdpA	GO:0031004
511145.b0698	kdpA	GO:1903103
511145.b0697	kdpB	GO:0005886
511145.b0697	kdpB	GO:0031004
511145.b0697	kdpB	GO:1903103
511145.b0696	kdpC	GO:0005886
511145.b0696	kdpC	GO:0031004
511145.b0696	kdpC	GO:1903103
511145.b0031	dapB	GO:0005829
511145.b2507	guaA	GO:0005829
511145.b4314	fimA	GO:0009289
511145.b1184	umuC	GO:0005829
511145.b1184	umuC	GO:0005886
511145.b1184	umuC	GO:0016020
511145.b1184	umuC	GO:0009355
511145.b2068	alkA	GO:0005737
511145.b2068	alkA	GO:0032993
511145.b2947	gshB	GO:0005737
511145.b2947	gshB	GO:0005829
511145.b4054	tyrB	GO:0005829
511145.b4054	tyrB	GO:0005737
511145.b2400	gltX	GO:0005829
511145.b3458	livK	GO:0030288
511145.b3458	livK	GO:0016020
511145.b3458	livK	GO:0055052
511145.b3661	nlpA	GO:0005886
511145.b0918	kdsB	GO:0005829
511145.b3748	rbsD	GO:0005829
511145.b3749	rbsA	GO:0016020
511145.b3749	rbsA	GO:0043190
511145.b3749	rbsA	GO:0055052
511145.b2819	recD	GO:0009338
511145.b2509	xseA	GO:0009318
511145.b1062	pyrC	GO:0005737
511145.b1062	pyrC	GO:0005829
511145.b1812	pabB	GO:0009356
511145.b2212	alkB	GO:0005737
511145.b2212	alkB	GO:0005829
511145.b3164	pnp	GO:0005829
511145.b3164	pnp	GO:0016020
511145.b3164	pnp	GO:1990061
511145.b1693	aroD	GO:0005829
511145.b2821	ptrA	GO:0005737
511145.b2821	ptrA	GO:0030288
511145.b2320	pdxB	GO:0005829
511145.b3635	mutM	GO:0005737
511145.b0049	apaH	GO:0005737
511145.b1421	trg	GO:0005886
511145.b1421	trg	GO:0098561
511145.b2704	srlB	GO:0005737
511145.b2704	srlB	GO:1902495
511145.b2705	srlD	GO:0032991
511145.b4348	hsdS	GO:0019812
511145.b3771	ilvD	GO:0005829
511145.b3774	ilvC	GO:0005829
511145.b3774	ilvC	GO:0032991
511145.b1617	uidA	GO:0005829
511145.b1617	uidA	GO:0032991
511145.b2616	recN	GO:0043590
511145.b2616	recN	GO:0005829
511145.b0584	fepA	GO:0009279
511145.b0584	fepA	GO:0016020
511145.b0584	fepA	GO:0030313
511145.b0584	fepA	GO:1902495
511145.b3061	ttdA	GO:0005829
511145.b3061	ttdA	GO:1902494
511145.b3064	tsaD	GO:0005829
511145.b3064	tsaD	GO:0000408
511145.b3966	btuB	GO:0009279
511145.b3966	btuB	GO:0016020
511145.b3966	btuB	GO:1902495
511145.b0093	ftsQ	GO:0005886
511145.b0093	ftsQ	GO:0032153
511145.b0093	ftsQ	GO:1990586
511145.b0093	ftsQ	GO:1990587
511145.b2133	dld	GO:0005886
511145.b2133	dld	GO:0009898
511145.b3918	cdh	GO:0005886
511145.b1711	btuC	GO:0005886
511145.b1711	btuC	GO:0016020
511145.b1711	btuC	GO:0043190
511145.b1711	btuC	GO:1990191
511145.b1711	btuC	GO:1990193
511145.b1710	btuE	GO:0042597
511145.b1709	btuD	GO:0016020
511145.b1709	btuD	GO:0019898
511145.b1709	btuD	GO:0043190
511145.b1709	btuD	GO:1990191
511145.b1709	btuD	GO:1990193
511145.b1274	topA	GO:0005829
511145.b2566	era	GO:0009898
511145.b2566	era	GO:0005829
511145.b2566	era	GO:0005737
511145.b2566	era	GO:0005886
511145.b3973	birA	GO:0005737
511145.b3973	birA	GO:0017053
511145.b0470	dnaX	GO:0009360
511145.b0470	dnaX	GO:0030894
511145.b0470	dnaX	GO:0043846
511145.b3500	gor	GO:0005829
511145.b3500	gor	GO:0016020
511145.b4119	melA	GO:0005829
511145.b3008	metC	GO:0032991
511145.b2831	mutH	GO:0032300
511145.b3076	ebgA	GO:0009341
511145.b0115	aceF	GO:0005737
511145.b0115	aceF	GO:0045254
511145.b3640	dut	GO:0005829
511145.b3640	dut	GO:0032991
511145.b0150	fhuA	GO:0009279
511145.b0150	fhuA	GO:0016020
511145.b0150	fhuA	GO:1902495
511145.b0153	fhuB	GO:0005886
511145.b0153	fhuB	GO:0043190
511145.b0153	fhuB	GO:0055052
511145.b1945	fliM	GO:0009288
511145.b1945	fliM	GO:0009433
511145.b1945	fliM	GO:0120107
511145.b3805	hemC	GO:0005737
511145.b3805	hemC	GO:0005829
511145.b2021	hisC	GO:0005829
511145.b2020	hisD	GO:0005737
511145.b2020	hisD	GO:0005829
511145.b2026	hisI	GO:0005829
511145.b0051	rsmA	GO:0005829
