511145.b2689	yqaA
511145.b2758	casC
511145.b2293	yfbT
511145.b4222	ytfP
511145.b2230	yfaA
511145.b0365	tauA
511145.b2450	yffS
511145.b3464	ftsY
511145.b3471	yhhQ
511145.b0344	lacZ
511145.b1309	ycjM
511145.b2908	pepP
511145.b1258	yciF
511145.b3844	fre
511145.b0425	panE
511145.b1303	pspF
511145.b1342	ydaN
511145.b2005	cbtA
511145.b1927	amyA
511145.b2543	yphA
511145.b2600	tyrA
511145.b3829	metE
511145.b2120	yehM
511145.b4220	tamA
511145.b0132	yadD
511145.b1134	nudJ
511145.b4245	pyrB
511145.b0062	araA
511145.b0586	entF
511145.b3332	gspK
511145.b1075	flgD
511145.b3455	livG
511145.b4035	malK
511145.b0125	hpt
511145.b0858	ybjO
511145.b2759	casB
511145.b0825	fsaA
511145.b1615	uidC
511145.b1685	ydiH
511145.b1093	fabG
511145.b2174	lpxT
511145.b4358	lgoD
511145.b3338	chiA
511145.b1263	trpD
511145.b4378	yjjV
511145.b2488	hyfH
511145.b3894	fdoG
511145.b1125	potB
511145.b2345	yfdF
511145.b1620	malI
511145.b2769	ygcQ
511145.b0059	rapA
511145.b1006	rutG
511145.b2339	yfcV
511145.b3368	cysG
511145.b1126	potA
511145.b4032	malG
511145.b0966	hspQ
511145.b0108	ppdD
511145.b0055	djlA
511145.b1186	nhaB
511145.b2997	hybO
511145.b3749	rbsA
511145.b3039	ygiD
511145.b3025	qseB
511145.b3927	glpF
511145.b2514	hisS
511145.b3210	arcB
511145.b4171	miaA
511145.b4671	ykgR
511145.b0200	gmhB
511145.b4618	tisB
511145.b1752	ydjZ
511145.b0532	sfmD
511145.b3933	ftsN
511145.b1264	trpE
511145.b2053	gmd
511145.b4020	yjbB
511145.b0331	prpB
511145.b2768	ygcP
511145.b4193	ulaA
511145.b0352	mhpE
511145.b2535	csiE
511145.b2073	yegL
511145.b1108	ycfP
511145.b1547	stfQ
511145.b1962	yedJ
511145.b2546	yphD
511145.b2828	lgt
511145.b2925	fbaA
511145.b2477	bamC
511145.b0158	btuF
511145.b3395	hofM
511145.b1412	azoR
511145.b1022	pgaC
511145.b3086	ygjQ
511145.b3404	envZ
511145.b2400	gltX
511145.b2742	nlpD
511145.b3567	xylG
511145.b0803	ybiI
511145.b2179	yejE
511145.b2793	syd
511145.b3131	agaR
511145.b2727	hypB
511145.b0979	cbdB
511145.b4053	alr
511145.b4702	mgtL
511145.b3525	yhjH
511145.b2308	hisQ
511145.b2563	acpS
511145.b1604	ydgH
511145.b3352	yheS
511145.b0889	lrp
511145.b2299	yfcD
511145.b2155	cirA
511145.b2327	yfcA
511145.b0341	cynX
511145.b4502	yeiW
511145.b3839	tatC
511145.b4221	tamB
511145.b1831	proQ
511145.b0781	moaA
511145.b0680	glnS
511145.b2346	mlaA
511145.b2700	pncC
511145.b1745	astB
511145.b1688	ydiK
511145.b1209	lolB
511145.b0124	gcd
511145.b3900	frvA
511145.b4330	yjiH
511145.b2630	rnlA
511145.b1997	insC1-3
511145.b1503	ydeR
511145.b4480	hdfR
511145.b3057	bacA
511145.b3561	wecH
511145.b3664	adeQ
511145.b0468	ybaN
511145.b4085	alsE
511145.b0026	ileS
511145.b0782	moaB
511145.b0949	uup
511145.b4680	ypdK
511145.b1702	ppsA
511145.b4002	zraP
511145.b2249	yfaY
511145.b3892	fdoI
511145.b0928	aspC
511145.b0003	thrB
511145.b0821	ybiU
511145.b3303	rpsE
511145.b0034	caiF
511145.b0575	cusA
511145.b1162	bluR
511145.b4139	aspA
511145.b0612	citT
511145.b1642	slyA
511145.b2141	yohJ
511145.b2310	argT
511145.b0369	hemB
511145.b2703	srlE
511145.b2809	ygdI
511145.b0777	bioC
511145.b1269	rluB
511145.b2558	mltF
511145.b3001	gpr
511145.b1766	sppA
511145.b0916	ycaQ
511145.b3522	yhjD
511145.b0541	insF1-3
511145.b0755	gpmA
511145.b1743	spy
511145.b2283	nuoG
511145.b2554	glrR
511145.b0131	panD
511145.b1817	manX
511145.b3591	selA
511145.b3617	kbl
511145.b2074	mdtA
511145.b2961	mutY
511145.b3208	mtgA
511145.b2424	cysU
511145.b0189	rof
511145.b4398	creB
511145.b3553	ghrB
511145.b0915	lpxK
511145.b3663	yicN
511145.b2752	cysD
511145.b2581	yfiF
511145.b3390	aroK
511145.b0148	hrpB
511145.b2615	nadK
511145.b2685	emrA
511145.b2876	yqeC
511145.b1195	ymgE
511145.b2887	ygfT
511145.b1474	fdnG
511145.b3073	patA
511145.b3416	malQ
511145.b4092	phnP
511145.b3923	uspD
511145.b3786	wecB
511145.b0977	hyaF
511145.b1008	rutE
511145.b1069	murJ
511145.b0415	ribE
511145.b1280	yciM
511145.b2801	fucP
511145.b2837	galR
511145.b4203	rplI
511145.b0824	ybiY
