id	SYMBOL	GO TERM
511145.b4602	ynhF	GO:0005515
511145.b4618	tisB	GO:0005253
511145.b2436	hemF	GO:0042803
511145.b3926	glpK	GO:0004370
511145.b4394	yjjX	GO:0017111
511145.b0446	cof	GO:0000287
511145.b0446	cof	GO:0016791
511145.b4662	sgrT	GO:0004857
511145.b4663	azuC	GO:0008047
511145.b4260	pepA	GO:0003677
511145.b4260	pepA	GO:0004177
511145.b0436	tig	GO:0005515
511145.b0476	aes	GO:0008126
511145.b2614	grpE	GO:0005515
511145.b4703	pmrR	GO:0004857
511145.b4407	thiS	GO:0097163
511145.b2029	gnd	GO:0004616
511145.b2029	gnd	GO:0042802
511145.b2029	gnd	GO:0042803
511145.b2029	gnd	GO:0050661
511145.b2029	gnd	GO:0097216
511145.b4154	frdA	GO:0000104
511145.b4154	frdA	GO:0005515
511145.b4154	frdA	GO:0009055
511145.b4154	frdA	GO:0050660
511145.b4154	frdA	GO:0071949
511145.b1761	gdhA	GO:0004354
511145.b1761	gdhA	GO:0042802
511145.b1761	gdhA	GO:0097216
511145.b1109	ndh	GO:0008137
511145.b1109	ndh	GO:0050660
511145.b3908	sodA	GO:0003677
511145.b3908	sodA	GO:0004784
511145.b3908	sodA	GO:0016209
511145.b3908	sodA	GO:0030145
511145.b3908	sodA	GO:0042803
511145.b3908	sodA	GO:0046872
511145.b2234	nrdA	GO:0004748
511145.b2234	nrdA	GO:0005515
511145.b2234	nrdA	GO:0005524
511145.b2234	nrdA	GO:0042802
511145.b2234	nrdA	GO:0044183
511145.b3417	malP	GO:0008184
511145.b3417	malP	GO:0030170
511145.b3417	malP	GO:0031220
511145.b3417	malP	GO:0042803
511145.b0928	aspC	GO:0004069
511145.b0928	aspC	GO:0004838
511145.b0928	aspC	GO:0030170
511145.b0928	aspC	GO:0042802
511145.b0928	aspC	GO:0042803
511145.b0003	thrB	GO:0004413
511145.b3599	mtlA	GO:0005515
511145.b3599	mtlA	GO:0090563
511145.b3599	mtlA	GO:0090565
511145.b0002	thrA	GO:0004072
511145.b0002	thrA	GO:0004412
511145.b0002	thrA	GO:0042802
511145.b0002	thrA	GO:0070403
511145.b3940	metL	GO:0004072
511145.b3940	metL	GO:0004412
511145.b3940	metL	GO:0070403
511145.b3067	rpoD	GO:0005515
511145.b3067	rpoD	GO:0016987
511145.b3863	polA	GO:0003677
511145.b3863	polA	GO:0003887
511145.b3863	polA	GO:0008408
511145.b3863	polA	GO:0008409
511145.b0383	phoA	GO:0000287
511145.b0383	phoA	GO:0004035
511145.b0383	phoA	GO:0004721
511145.b0383	phoA	GO:0005515
511145.b0383	phoA	GO:0008270
511145.b0383	phoA	GO:0030613
511145.b0383	phoA	GO:0033748
511145.b0344	lacZ	GO:0000287
511145.b0344	lacZ	GO:0004565
511145.b0344	lacZ	GO:0031420
511145.b0344	lacZ	GO:0042802
511145.b2568	lepB	GO:0004175
511145.b2568	lepB	GO:0004252
511145.b2568	lepB	GO:0008233
511145.b0027	lspA	GO:0004175
511145.b2957	ansB	GO:0004067
511145.b2957	ansB	GO:0042802
511145.b4150	ampC	GO:0008800
511145.b0340	cynS	GO:0008824
511145.b2838	lysA	GO:0005515
511145.b2838	lysA	GO:0008836
511145.b2838	lysA	GO:0030170
511145.b2838	lysA	GO:0042803
511145.b3956	ppc	GO:0008964
511145.b3956	ppc	GO:0042802
511145.b1704	aroH	GO:0003849
511145.b1704	aroH	GO:0005515
511145.b1704	aroH	GO:0042802
511145.b2601	aroF	GO:0003849
511145.b2601	aroF	GO:0042802
511145.b0077	ilvI	GO:0000287
511145.b0077	ilvI	GO:0003984
511145.b0077	ilvI	GO:0030976
511145.b0077	ilvI	GO:0050660
511145.b0078	ilvH	GO:0003984
511145.b1264	trpE	GO:0004049
511145.b3360	pabA	GO:0004049
511145.b3360	pabA	GO:0046820
511145.b3360	pabA	GO:0046982
511145.b1262	trpC	GO:0004425
511145.b1262	trpC	GO:0004640
511145.b2366	dsdA	GO:0008721
511145.b2366	dsdA	GO:0016836
511145.b2366	dsdA	GO:0030170
511145.b0004	thrC	GO:0004795
511145.b3939	metB	GO:0003962
511145.b3939	metB	GO:0004123
511145.b3939	metB	GO:0030170
511145.b3806	cyaA	GO:0004016
511145.b3806	cyaA	GO:0005515
511145.b3565	xylA	GO:0009045
511145.b3565	xylA	GO:0042803
511145.b1613	manA	GO:0004476
511145.b1613	manA	GO:0005515
511145.b3384	trpS	GO:0004830
511145.b0026	ileS	GO:0004822
511145.b0026	ileS	GO:0005515
511145.b0026	ileS	GO:0008270
511145.b2697	alaS	GO:0001217
511145.b2697	alaS	GO:0002161
511145.b2697	alaS	GO:0002196
511145.b2697	alaS	GO:0004813
511145.b2697	alaS	GO:0008270
511145.b2697	alaS	GO:0042802
511145.b2697	alaS	GO:0042803
511145.b2697	alaS	GO:0141207
511145.b2114	metG	GO:0004825
511145.b2114	metG	GO:0005515
511145.b2114	metG	GO:0008270
511145.b2114	metG	GO:0042803
511145.b3560	glyQ	GO:0004820
511145.b3560	glyQ	GO:0005515
511145.b3559	glyS	GO:0004820
511145.b3559	glyS	GO:0000049
511145.b3559	glyS	GO:0005515
511145.b0680	glnS	GO:0004819
511145.b3744	asnA	GO:0004071
511145.b3744	asnA	GO:0042802
511145.b3744	asnA	GO:0042803
511145.b0033	carB	GO:0004088
511145.b0033	carB	GO:0000166
511145.b0033	carB	GO:0004087
511145.b0033	carB	GO:0005515
511145.b0033	carB	GO:0005524
511145.b0033	carB	GO:0016597
511145.b0033	carB	GO:0046872
511145.b4200	rpsF	GO:0003735
511145.b4200	rpsF	GO:0005515
511145.b4200	rpsF	GO:0048027
511145.b4200	rpsF	GO:0070181
511145.b3341	rpsG	GO:0003729
511145.b3341	rpsG	GO:0003735
511145.b3341	rpsG	GO:0005515
511145.b3341	rpsG	GO:0019843
511145.b3301	rplO	GO:0003735
511145.b3301	rplO	GO:0005515
511145.b4033	malF	GO:0005515
511145.b4033	malF	GO:0015423
511145.b3396	mrcA	GO:0004185
511145.b3396	mrcA	GO:0005515
511145.b3396	mrcA	GO:0008658
511145.b3396	mrcA	GO:0008955
511145.b3396	mrcA	GO:0009002
511145.b0149	mrcB	GO:0005515
511145.b0149	mrcB	GO:0008658
511145.b0149	mrcB	GO:0008955
511145.b0149	mrcB	GO:0009002
511145.b0343	lacY	GO:0005351
511145.b0343	lacY	GO:0005515
511145.b0343	lacY	GO:0015528
511145.b0343	lacY	GO:0030395
511145.b4120	melB	GO:0005515
511145.b4120	melB	GO:0015486
511145.b4120	melB	GO:0015487
511145.b4120	melB	GO:0015592
511145.b4120	melB	GO:0043887
511145.b1901	araF	GO:0015407
511145.b1901	araF	GO:0030246
511145.b1901	araF	GO:0048029
511145.b3751	rbsB	GO:0005515
511145.b3751	rbsB	GO:0048029
511145.b1252	tonB	GO:0005515
511145.b1252	tonB	GO:0019904
511145.b1252	tonB	GO:0031992
511145.b3035	tolC	GO:0005216
511145.b3035	tolC	GO:0005515
511145.b3035	tolC	GO:0015125
511145.b3035	tolC	GO:0015288
511145.b3035	tolC	GO:0015562
511145.b3035	tolC	GO:0042802
511145.b3035	tolC	GO:0042931
511145.b0929	ompF	GO:0001530
511145.b0929	ompF	GO:0005216
511145.b0929	ompF	GO:0005515
511145.b0929	ompF	GO:0008289
511145.b0929	ompF	GO:0015288
511145.b0929	ompF	GO:0042802
511145.b0929	ompF	GO:0042912
511145.b0929	ompF	GO:0097718
511145.b0241	phoE	GO:0015288
511145.b4355	tsr	GO:0004888
