yeast rand 1 bp 11 30
REPEL_acc 0.4894 0.4954 0.4650 0.4640 0.5194 
REPEL_f1 0.3013 0.3041 0.2936 0.2925 0.3268 
REPEL_auprc 0.3108 0.3132 0.3032 0.3007 0.3366 
Mashup_acc 0.3686 0.3451 0.3344 0.3430 0.3344 
Mashup_f1 0.2336 0.2285 0.2281 0.2269 0.2249 
Mashup_auprc 0.2416 0.2360 0.2363 0.2339 0.2325 
yeast rand 1 bp 11 30
REPEL_acc 0.5000 0.4877 0.4635 0.4625 0.5117 
REPEL_f1 0.3043 0.3036 0.2944 0.2881 0.3233 
REPEL_auprc 0.3138 0.3127 0.3041 0.2962 0.3330 
Mashup_acc 0.3686 0.3451 0.3344 0.3430 0.3344 
Mashup_f1 0.2336 0.2285 0.2281 0.2269 0.2249 
Mashup_auprc 0.2416 0.2360 0.2363 0.2339 0.2325 
